"Date","Price","Open","High","Low","Vol.","Change %"
"08/20/2024","1,425.51","1,433.25","1,434.65","1,420.84","14.88M","-0.47%"
"08/19/2024","1,432.28","1,432.04","1,436.74","1,428.44","10.83M","0.03%"
"08/16/2024","1,431.88","1,430.05","1,438.67","1,430.05","22.07M","0.62%"
"08/14/2024","1,423.05","1,408.54","1,423.55","1,408.54","20.14M","1.42%"
"08/13/2024","1,403.17","1,398.22","1,404.62","1,394.62","15.10M","0.36%"
"08/12/2024","1,398.20","1,384.64","1,399.97","1,384.64","15.21M","1.08%"
"08/09/2024","1,383.31","1,390.67","1,394.64","1,382.85","13.49M","0.06%"
"08/08/2024","1,382.46","1,388.44","1,388.86","1,375.27","19.34M","-0.85%"
"08/07/2024","1,394.29","1,375.82","1,399.33","1,375.82","20.95M","1.94%"
"08/06/2024","1,367.78","1,356.01","1,383.60","1,355.44","37.53M","1.98%"
"08/05/2024","1,341.23","1,427.32","1,428.01","1,320.77","52.72M","-6.27%"
"08/02/2024","1,430.90","1,455.94","1,455.94","1,430.30","27.07M","-2.95%"
"08/01/2024","1,474.44","1,476.97","1,479.01","1,463.98","24.24M","-0.25%"
"07/31/2024","1,478.17","1,463.58","1,478.17","1,463.58","27.31M","1.21%"
"07/30/2024","1,460.46","1,468.36","1,468.75","1,460.42","12.72M","-0.51%"
"07/29/2024","1,468.01","1,466.36","1,468.84","1,462.81","13.64M","-0.08%"
"07/26/2024","1,469.25","1,462.47","1,470.01","1,462.25","22.16M","0.37%"
"07/25/2024","1,463.82","1,461.00","1,463.82","1,450.32","21.20M","-0.20%"
"07/24/2024","1,466.73","1,475.70","1,475.70","1,466.72","21.07M","-0.91%"
"07/23/2024","1,480.23","1,481.96","1,487.54","1,479.83","17.06M","-0.15%"
"07/22/2024","1,482.43","1,465.81","1,483.32","1,465.81","21.13M","1.23%"
"07/19/2024","1,464.39","1,453.92","1,464.40","1,449.65","17.34M","0.46%"
"07/18/2024","1,457.74","1,449.54","1,458.99","1,446.73","19.85M","0.75%"
"07/17/2024","1,446.92","1,448.33","1,451.99","1,438.62","16.20M","-0.17%"
"07/16/2024","1,449.40","1,453.66","1,454.83","1,446.05","16.85M","-0.63%"
"07/15/2024","1,458.52","1,453.96","1,461.81","1,453.17","22.58M","0.43%"
"07/12/2024","1,452.28","1,441.48","1,452.28","1,441.48","17.52M","0.44%"
"07/11/2024","1,445.91","1,445.60","1,450.58","1,442.68","14.31M","0.11%"
"07/10/2024","1,444.31","1,452.46","1,452.46","1,440.62","15.45M","-0.48%"
"07/09/2024","1,451.22","1,448.67","1,458.37","1,447.37","18.41M","0.02%"
"07/08/2024","1,450.92","1,439.14","1,450.92","1,434.57","21.15M","0.72%"
"07/05/2024","1,440.52","1,436.56","1,442.11","1,436.45","12.20M","0.33%"
"07/04/2024","1,435.81","1,424.87","1,435.81","1,420.03","15.11M","0.86%"
"07/03/2024","1,423.56","1,414.89","1,423.57","1,410.41","19.32M","1.17%"
"07/02/2024","1,407.03","1,413.95","1,418.86","1,407.03","16.18M","-0.97%"
"07/01/2024","1,420.83","1,409.56","1,423.46","1,409.56","","1.18%"
"06/28/2024","1,404.26","1,400.24","1,411.95","1,400.24","37.42M","0.27%"
"06/27/2024","1,400.43","1,407.47","1,411.17","1,400.41","29.91M","-0.41%"
"06/26/2024","1,406.24","1,417.66","1,419.75","1,399.55","42.31M","-0.97%"
"06/25/2024","1,420.06","1,423.90","1,431.81","1,419.17","34.03M","-0.28%"
"06/21/2024","1,424.04","1,425.05","1,427.84","1,415.27","39.14M","0.16%"
"06/20/2024","1,421.71","1,432.13","1,434.66","1,411.53","23.50M","-0.31%"
"06/19/2024","1,426.20","1,423.76","1,428.71","1,420.37","15.29M","0.27%"
"06/18/2024","1,422.32","1,407.20","1,423.05","1,407.20","27.54M","1.30%"
"06/17/2024","1,404.11","1,412.29","1,419.49","1,395.06","22.81M","-0.20%"
"06/14/2024","1,406.91","1,438.37","1,439.63","1,406.39","33.60M","-2.19%"
"06/13/2024","1,438.44","1,454.00","1,457.35","1,438.24","17.68M","-0.88%"
"06/12/2024","1,451.24","1,449.91","1,459.79","1,448.06","24.03M","0.17%"
"06/11/2024","1,448.75","1,461.90","1,472.44","1,448.75","17.01M","-0.69%"
"06/10/2024","1,458.84","1,445.43","1,461.76","1,440.91","15.75M","0.03%"
"06/07/2024","1,458.37","1,455.72","1,462.22","1,450.83","20.75M","0.38%"
"06/06/2024","1,452.85","1,452.81","1,463.47","1,452.81","31.38M","0.63%"
"06/05/2024","1,443.74","1,431.52","1,445.93","1,425.12","21.28M","1.34%"
"06/04/2024","1,424.69","1,446.02","1,446.42","1,424.66","17.88M","-1.57%"
"06/03/2024","1,447.41","1,436.80","1,455.57","1,436.80","19.00M","1.09%"
"05/31/2024","1,431.84","1,440.78","1,440.78","1,431.53","73.04M","-0.56%"
"05/30/2024","1,439.91","1,444.74","1,449.49","1,433.71","27.57M","-0.16%"
"05/29/2024","1,442.21","1,469.78","1,470.31","1,442.16","30.30M","-2.00%"
"05/28/2024","1,471.63","1,482.82","1,487.42","1,470.44","17.32M","-0.65%"
"05/27/2024","1,481.23","1,479.89","1,494.49","1,477.37","11.94M","0.24%"
"05/24/2024","1,477.69","1,473.40","1,481.11","1,469.72","15.78M","-0.27%"
"05/23/2024","1,481.65","1,481.28","1,486.60","1,476.55","14.31M","0.11%"
"05/22/2024","1,480.09","1,494.48","1,496.54","1,478.23","30.88M","-1.09%"
"05/21/2024","1,496.35","1,503.68","1,503.68","1,492.80","30.41M","-0.43%"
"05/20/2024","1,502.79","1,496.72","1,505.07","1,495.66","23.00M","0.83%"
"05/17/2024","1,490.46","1,492.68","1,505.35","1,488.50","30.95M","-0.08%"
"05/16/2024","1,491.71","1,496.44","1,497.35","1,487.12","32.09M","-0.13%"
"05/15/2024","1,493.65","1,475.05","1,493.65","1,475.05","25.01M","1.49%"
